Case_ID,Year_State_ID,Category,Type,Stream,Fate,Tonnes,Core_Non-core,Description
34658,1001,Biosolids,Biosolids,C&I,Disposal,20185.54974,Core waste,A total of 20185.55 tonnes of Biosolids (C&I) was sent for Disposal. Environmental Impact Score: 2/10. This approach negatively affects the environment. Rethink disposal methods.
34659,1001,Biosolids,Biosolids,C&I,Recycling,0,Core waste,"A total of 0.00 tonnes of Biosolids (C&I) was sent for Recycling. Environmental Impact Score: 5/10. You're on the right track, but optimizing waste management could help."
34662,1001,Building and demolition materials,Asphalt,C&D,Recycling,0,Core waste,"A total of 0.00 tonnes of Asphalt (C&D) was sent for Recycling. Environmental Impact Score: 5/10. This has a balanced impact, but there's room for improvement."
34663,1001,Building and demolition materials,Asphalt,C&I,Recycling,0,Core waste,A total of 0.00 tonnes of Asphalt (C&I) was sent for Recycling. Environmental Impact Score: 5/10. Neutral outcome—look for opportunities to reduce waste.
34664,1001,Building and demolition materials,Asphalt,MSW,Recycling,0,Core waste,A total of 0.00 tonnes of Asphalt (MSW) was sent for Recycling. Environmental Impact Score: 5/10. Neutral outcome—look for opportunities to reduce waste.
34666,1001,Building and demolition materials,"Bricks, concrete and pavers",C&D,Recycling,-20000000,Core waste,"A total of 141663.39 tonnes of Bricks, concrete and pavers (C&D) was sent for Recycling. Environmental Impact Score: 8/10. You're making a positive impact on the environment!"
34667,1001,Building and demolition materials,"Bricks, concrete and pavers",C&I,Recycling,3.827859813,Core waste,"A total of 3.83 tonnes of Bricks, concrete and pavers (C&I) was sent for Recycling. Environmental Impact Score: 8/10. Excellent waste management! Keep going."
34668,1001,Building and demolition materials,"Bricks, concrete and pavers",MSW,Recycling,0,Core waste,"A total of 0.00 tonnes of Bricks, concrete and pavers (MSW) was sent for Recycling. Environmental Impact Score: 5/10. A stable approach, but more can be done for better environmental outcomes."
34670,1001,Building and demolition materials,"Ceramics, tiles and pottery",C&D,Recycling,36190.96779,Core waste,"A total of 36190.97 tonnes of Ceramics, tiles and pottery (C&D) was sent for Recycling. Environmental Impact Score: 8/10. Excellent waste management! Keep going."
34671,1001,Building and demolition materials,"Ceramics, tiles and pottery",C&I,Recycling,0.530737326,Core waste,"A total of 0.53 tonnes of Ceramics, tiles and pottery (C&I) was sent for Recycling. Environmental Impact Score: 8/10. You're making a positive impact on the environment!"
34672,1001,Building and demolition materials,"Ceramics, tiles and pottery",MSW,Recycling,0,Core waste,"A total of 0.00 tonnes of Ceramics, tiles and pottery (MSW) was sent for Recycling. Environmental Impact Score: 5/10. A stable approach, but more can be done for better environmental outcomes."
34674,1001,Building and demolition materials,Plasterboard & cement sheeting,C&D,Recycling,32.32598047,Core waste,A total of 32.33 tonnes of Plasterboard & cement sheeting (C&D) was sent for Recycling. Environmental Impact Score: 8/10. Well done! This is a great step toward sustainability.
34675,1001,Building and demolition materials,Plasterboard & cement sheeting,C&I,Recycling,154.2202371,Core waste,A total of 154.22 tonnes of Plasterboard & cement sheeting (C&I) was sent for Recycling. Environmental Impact Score: 8/10. Well done! This is a great step toward sustainability.
34676,1001,Building and demolition materials,Plasterboard & cement sheeting,MSW,Recycling,0,Core waste,A total of 0.00 tonnes of Plasterboard & cement sheeting (MSW) was sent for Recycling. Environmental Impact Score: 5/10. Neutral outcome—look for opportunities to reduce waste.
34678,1001,Building and demolition materials,Rubble,C&D,Recycling,34085.78155,Core waste,A total of 34085.78 tonnes of Rubble (C&D) was sent for Recycling. Environmental Impact Score: 8/10. You're making a positive impact on the environment!
34679,1001,Building and demolition materials,Rubble,C&I,Recycling,3.842458009,Core waste,A total of 3.84 tonnes of Rubble (C&I) was sent for Recycling. Environmental Impact Score: 8/10. Excellent waste management! Keep going.
34680,1001,Building and demolition materials,Rubble,MSW,Recycling,0,Core waste,A total of 0.00 tonnes of Rubble (MSW) was sent for Recycling. Environmental Impact Score: 5/10. Neither harmful nor beneficial. Consider ways to enhance sustainability.
34682,1001,Building and demolition materials,"Soil, sand and rock not contaminated above any threshold requiring classification as contaminated soils (N120)",C&D,Recycling,59504.37378,Core waste,"A total of 59504.37 tonnes of Soil, sand and rock not contaminated above any threshold requiring classification as contaminated soils (N120) (C&D) was sent for Recycling. Environmental Impact Score: 8/10. Great effort! Keep up the sustainable practices."
34683,1001,Building and demolition materials,"Soil, sand and rock not contaminated above any threshold requiring classification as contaminated soils (N120)",C&D,Waste reuse,133987.09,Core waste,"A total of 133987.09 tonnes of Soil, sand and rock not contaminated above any threshold requiring classification as contaminated soils (N120) (C&D) was sent for Waste reuse. Environmental Impact Score: 5/10. This has a balanced impact, but there's room for improvement."
34684,1001,Building and demolition materials,"Soil, sand and rock not contaminated above any threshold requiring classification as contaminated soils (N120)",C&I,Recycling,647.612931,Core waste,"A total of 647.61 tonnes of Soil, sand and rock not contaminated above any threshold requiring classification as contaminated soils (N120) (C&I) was sent for Recycling. Environmental Impact Score: 8/10. Great effort! Keep up the sustainable practices."
34685,1001,Building & demolition materials,"Soil, sand and rock not contaminated above any threshold requiring classification as contaminated soils (N120)",MSW,Recycling,0,Core waste,"A total of 0.00 tonnes of Soil, sand and rock not contaminated above any threshold requiring classification as contaminated soils (N120) (MSW) was sent for Recycling. Environmental Impact Score: 5/10. You're on the right track, but optimizing waste management could help."
34688,1001,Glass,Glass from food and beverage containers,C&D,Recycling,550.7504234,Core waste,A total of 550.75 tonnes of Glass from food and beverage containers (C&D) was sent for Recycling. Environmental Impact Score: 8/10. You're making a positive impact on the environment!
34689,1001,Glass,Glass from food and beverage containers,C&I,Recycling,10292.5304,Core waste,A total of 10292.53 tonnes of Glass from food and beverage containers (C&I) was sent for Recycling. Environmental Impact Score: 8/10. Your efforts in reducing waste are commendable!
34690,1001,Glass,Glass from food and beverage containers,MSW,Recycling,7512.148225,Core waste,A total of 7512.15 tonnes of Glass from food and beverage containers (MSW) was sent for Recycling. Environmental Impact Score: 8/10. Great effort! Keep up the sustainable practices.
34692,1001,Glass,Other glass,C&D,Recycling,0,Core waste,A total of 0.00 tonnes of Other glass (C&D) was sent for Recycling. Environmental Impact Score: 5/10. Neutral outcome—look for opportunities to reduce waste.
34693,1001,Glass,Other glass,C&I,Recycling,5.965327598,Core waste,A total of 5.97 tonnes of Other glass (C&I) was sent for Recycling. Environmental Impact Score: 8/10. Well done! This is a great step toward sustainability.
34694,1001,Glass,Other glass,MSW,Recycling,22.05046983,Core waste,A total of 22.05 tonnes of Other glass (MSW) was sent for Recycling. Environmental Impact Score: 8/10. Well done! This is a great step toward sustainability.
34696,1001,Hazardous wastes,Acids (B),C&D,Energy recovery,0,NA,"A total of 0.00 tonnes of Acids (B) (C&D) was sent for Energy recovery. Environmental Impact Score: 5/10. This has a balanced impact, but there's room for improvement."
34697,1001,Hazardous wastes,Acids (B),C&D,Disposal,0,NA,A total of 0.00 tonnes of Acids (B) (C&D) was sent for Disposal. Environmental Impact Score: 6/10. Great effort! Keep up the sustainable practices.
34698,1001,Hazardous wastes,Acids (B),C&D,Disposal,0,NA,A total of 0.00 tonnes of Acids (B) (C&D) was sent for Disposal. Environmental Impact Score: 6/10. Excellent waste management! Keep going.
